gene_symbol	gene_symbol_long	identifier
LBD27	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.06g178900
LBD28	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.06g285100
LBD29	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.07g009500
LBD3	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.01g143900
LBD30	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.07g091600
LBD31	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.07g223600
LBD32	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.08g169000
LBD33	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.08g192600
LBD34	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.08g235200
LBD35	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.08g261900
LBD36	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.08g334200
LBD37	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.08g365100
LBD4	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.01g183900
LBD5	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.01g192600
LBD6	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.02g166400
LBD7.2	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.02g234600
LBD8	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.02g249700
LBD9	LBD domain-containing transcription factor	glyma.Wm82.gnm2.ann1.Glyma.02g262400
LCL-1	Late Elongated Hypocotyl/ CCA gene 1	glyma.Wm82.gnm2.ann1.Glyma.16G017400
LCL-2	Late Elongated Hypocotyl/ CCA gene 2	glyma.Wm82.gnm2.ann1.Glyma.03G261800
LCL-3	Late Elongated Hypocotyl/ CCA gene 3	glyma.Wm82.gnm2.ann1.Glyma.19G260900
LCL-4	Late Elongated Hypocotyl/ CCA gene 4	glyma.Wm82.gnm2.ann1.Glyma.07G048500
LCL1	late elongated hypocotyl and circadian clock associated-1-like protein 1	glyma.Wm82.gnm2.ann1.Glyma.16g017400
LCL3	LHY1/CCA1-like protein	glyma.Wm82.gnm2.ann1.Glyma.19g260900
LCL4	LHY1/CCA1-like protein	glyma.Wm82.gnm2.ann1.Glyma.07g048500
LDL1-1	LSD1-like1 gene 1	glyma.Wm82.gnm1.ann1.Glyma07g09980
LDL1-2	LSD1-like1 gene 2	glyma.Wm82.gnm1.ann1.Glyma09g31770
LDL2-1	LSD2-like2 gene 1	glyma.Wm82.gnm1.ann1.Glyma06g38600
LE1	lectin	glyma.Wm82.gnm2.ann1.Glyma.02g012600
Le1-1	Lectin 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.02g012600
Le4-2	lectin DB58-like	glyma.Wm82.gnm2.ann1.Glyma.10g108900
Le5	Lectin gene 5	glyma.Wm82.gnm1.ann1.Glyma10g15480
LEA-1	late-embryogenesis abundant protein 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.14g037300
LEA-2	late-embryogenesis abundant protein 1 gene 2	glyma.Wm82.gnm2.ann1.Glyma.20g044800
LEA2-1	late embryogenesis abundant 2 gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G152600
LEA2-10	late embryogenesis abundant 2 gene 10	glyma.Wm82.gnm2.ann1.Glyma.02G303100
LEA2-100	late embryogenesis abundant 2 gene 100	glyma.Wm82.gnm2.ann1.Glyma.19G260500
LEA2-101	late embryogenesis abundant 2 gene 101	glyma.Wm82.gnm2.ann1.Glyma.20G044800
LEA2-102	late embryogenesis abundant 2 gene 102	glyma.Wm82.gnm2.ann1.Glyma.20G140900
LEA2-103	late embryogenesis abundant 2 gene 103	glyma.Wm82.gnm2.ann1.Glyma.20G216300
LEA2-11	late embryogenesis abundant 2 gene 11	glyma.Wm82.gnm2.ann1.Glyma.03G000800
LEA2-12	late embryogenesis abundant 2 gene 12	glyma.Wm82.gnm2.ann1.Glyma.03G201000
LEA2-13	late embryogenesis abundant 2 gene 13	glyma.Wm82.gnm2.ann1.Glyma.03G201100
LEA2-14	late embryogenesis abundant 2 gene 14	glyma.Wm82.gnm2.ann1.Glyma.03G201200
LEA2-15	late embryogenesis abundant 2 gene 15	glyma.Wm82.gnm2.ann1.Glyma.03G201300
LEA2-16	late embryogenesis abundant 2 gene 16	glyma.Wm82.gnm2.ann1.Glyma.03G201500
LEA2-17	late embryogenesis abundant 2 gene 17	glyma.Wm82.gnm2.ann1.Glyma.03G201600
LEA2-18	late embryogenesis abundant 2 gene 18	glyma.Wm82.gnm2.ann1.Glyma.03G261400
LEA2-19	late embryogenesis abundant 2 gene 19	glyma.Wm82.gnm2.ann1.Glyma.03G263800
LEA2-2	late embryogenesis abundant 2 gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G222800
LEA2-20	late embryogenesis abundant 2 gene 20	glyma.Wm82.gnm2.ann1.Glyma.04G051600
LEA2-21	late embryogenesis abundant 2 gene 21	glyma.Wm82.gnm2.ann1.Glyma.04G103700
LEA2-22	late embryogenesis abundant 2 gene 22	glyma.Wm82.gnm2.ann1.Glyma.04G228200
LEA2-23	late embryogenesis abundant 2 gene 23	glyma.Wm82.gnm2.ann1.Glyma.05G094300
LEA2-24	late embryogenesis abundant 2 gene 24	glyma.Wm82.gnm2.ann1.Glyma.05G179200
LEA2-25	late embryogenesis abundant 2 gene 25	glyma.Wm82.gnm2.ann1.Glyma.05G212600
LEA2-26	late embryogenesis abundant 2 gene 26	glyma.Wm82.gnm2.ann1.Glyma.05G217500
LEA2-27	late embryogenesis abundant 2 gene 27	glyma.Wm82.gnm2.ann1.Glyma.05G242600
LEA2-28	late embryogenesis abundant 2 gene 28	glyma.Wm82.gnm2.ann1.Glyma.06G052400
LEA2-29	late embryogenesis abundant 2 gene 29	glyma.Wm82.gnm2.ann1.Glyma.06G104900
LEA2-3	late embryogenesis abundant 2 gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G226100
LEA2-30	late embryogenesis abundant 2 gene 30	glyma.Wm82.gnm2.ann1.Glyma.06G136700
LEA2-31	late embryogenesis abundant 2 gene 31	glyma.Wm82.gnm2.ann1.Glyma.06G303300
LEA2-32	late embryogenesis abundant 2 gene 32	glyma.Wm82.gnm2.ann1.Glyma.07G009700
LEA2-33	late embryogenesis abundant 2 gene 33	glyma.Wm82.gnm2.ann1.Glyma.07G049300
LEA2-34	late embryogenesis abundant 2 gene 34	glyma.Wm82.gnm2.ann1.Glyma.07G084600
LEA2-35	late embryogenesis abundant 2 gene 35	glyma.Wm82.gnm2.ann1.Glyma.07G087000
LEA2-36	late embryogenesis abundant 2 gene 36	glyma.Wm82.gnm2.ann1.Glyma.07G099500
LEA2-37	late embryogenesis abundant 2 gene 37	glyma.Wm82.gnm2.ann1.Glyma.07G103700
LEA2-38	late embryogenesis abundant 2 gene 38	glyma.Wm82.gnm2.ann1.Glyma.07G103800
LEA2-39	late embryogenesis abundant 2 gene 39	glyma.Wm82.gnm2.ann1.Glyma.07G103900
LEA2-4	late embryogenesis abundant 2 gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G240600
LEA2-40	late embryogenesis abundant 2 gene 40	glyma.Wm82.gnm2.ann1.Glyma.08G019000
LEA2-41	late embryogenesis abundant 2 gene 41	glyma.Wm82.gnm2.ann1.Glyma.08G023500
LEA2-42	late embryogenesis abundant 2 gene 42	glyma.Wm82.gnm2.ann1.Glyma.08G077900
LEA2-43	late embryogenesis abundant 2 gene 43	glyma.Wm82.gnm2.ann1.Glyma.08G136900
LEA2-44	late embryogenesis abundant 2 gene 44	glyma.Wm82.gnm2.ann1.Glyma.08G184000
LEA2-45	late embryogenesis abundant 2 gene 45	glyma.Wm82.gnm2.ann1.Glyma.09G071900
LEA2-46	late embryogenesis abundant 2 gene 46	glyma.Wm82.gnm2.ann1.Glyma.09G179400
LEA2-47	late embryogenesis abundant 2 gene 47	glyma.Wm82.gnm2.ann1.Glyma.09G189900
LEA2-48	late embryogenesis abundant 2 gene 48	glyma.Wm82.gnm2.ann1.Glyma.09G192300
LEA2-49	late embryogenesis abundant 2 gene 49	glyma.Wm82.gnm2.ann1.Glyma.09G217800
LEA2-5	late embryogenesis abundant 2 gene 5	glyma.Wm82.gnm2.ann1.Glyma.02G197600
LEA2-50	late embryogenesis abundant 2 gene 50	glyma.Wm82.gnm2.ann1.Glyma.10G079400
LEA2-51	late embryogenesis abundant 2 gene 51	glyma.Wm82.gnm2.ann1.Glyma.10G079900
LEA2-52	late embryogenesis abundant 2 gene 52	glyma.Wm82.gnm2.ann1.Glyma.10G080000
LEA2-53	late embryogenesis abundant 2 gene 53	glyma.Wm82.gnm2.ann1.Glyma.10G174100
LEA2-54	late embryogenesis abundant 2 gene 54	glyma.Wm82.gnm2.ann1.Glyma.10G252500
LEA2-55	late embryogenesis abundant 2 gene 55	glyma.Wm82.gnm2.ann1.Glyma.11G003000
LEA2-56	late embryogenesis abundant 2 gene 56	glyma.Wm82.gnm2.ann1.Glyma.11G020500
LEA2-57	late embryogenesis abundant 2 gene 57	glyma.Wm82.gnm2.ann1.Glyma.11G020600
LEA2-58	late embryogenesis abundant 2 gene 58	glyma.Wm82.gnm2.ann1.Glyma.11G097100
LEA2-59	late embryogenesis abundant 2 gene 59	glyma.Wm82.gnm2.ann1.Glyma.11G179900
LEA2-6	late embryogenesis abundant 2 gene 6	glyma.Wm82.gnm2.ann1.Glyma.02G197800
LEA2-60	late embryogenesis abundant 2 gene 60	glyma.Wm82.gnm2.ann1.Glyma.11G182400
LEA2-61	late embryogenesis abundant 2 gene 61	glyma.Wm82.gnm2.ann1.Glyma.11G199600
LEA2-62	late embryogenesis abundant 2 gene 62	glyma.Wm82.gnm2.ann1.Glyma.11G203000
LEA2-63	late embryogenesis abundant 2 gene 63	glyma.Wm82.gnm2.ann1.Glyma.12G023200
LEA2-64	late embryogenesis abundant 2 gene 64	glyma.Wm82.gnm2.ann1.Glyma.12G093600
LEA2-65	late embryogenesis abundant 2 gene 65	glyma.Wm82.gnm2.ann1.Glyma.12G187600
LEA2-66	late embryogenesis abundant 2 gene 66	glyma.Wm82.gnm2.ann1.Glyma.12G194700
LEA2-67	late embryogenesis abundant 2 gene 67	glyma.Wm82.gnm2.ann1.Glyma.12G202900
LEA2-68	late embryogenesis abundant 2 gene 68	glyma.Wm82.gnm2.ann1.Glyma.13G000500
LEA2-69	late embryogenesis abundant 2 gene 69	glyma.Wm82.gnm2.ann1.Glyma.13G248600
LEA2-7	late embryogenesis abundant 2 gene 7	glyma.Wm82.gnm2.ann1.Glyma.02G239100
LEA2-70	late embryogenesis abundant 2 gene 70	glyma.Wm82.gnm2.ann1.Glyma.13G298800
LEA2-71	late embryogenesis abundant 2 gene 71	glyma.Wm82.gnm2.ann1.Glyma.13G307700
LEA2-72	late embryogenesis abundant 2 gene 72	glyma.Wm82.gnm2.ann1.Glyma.13G307900
LEA2-73	late embryogenesis abundant 2 gene 73	glyma.Wm82.gnm2.ann1.Glyma.13G313600
LEA2-74	late embryogenesis abundant 2 gene 74	glyma.Wm82.gnm2.ann1.Glyma.13G313700
LEA2-75	late embryogenesis abundant 2 gene 75	glyma.Wm82.gnm2.ann1.Glyma.13G349900
LEA2-76	late embryogenesis abundant 2 gene 76	glyma.Wm82.gnm2.ann1.Glyma.13G357600
LEA2-77	late embryogenesis abundant 2 gene 77	glyma.Wm82.gnm2.ann1.Glyma.13G359200
LEA2-78	late embryogenesis abundant 2 gene 78	glyma.Wm82.gnm2.ann1.Glyma.14G010800
LEA2-79	late embryogenesis abundant 2 gene 79	glyma.Wm82.gnm2.ann1.Glyma.14G037300
LEA2-8	late embryogenesis abundant 2 gene 8	glyma.Wm82.gnm2.ann1.Glyma.02G274400
LEA2-80	late embryogenesis abundant 2 gene 80	glyma.Wm82.gnm2.ann1.Glyma.14G041700
LEA2-81	late embryogenesis abundant 2 gene 81	glyma.Wm82.gnm2.ann1.Glyma.14G160000
LEA2-82	late embryogenesis abundant 2 gene 82	glyma.Wm82.gnm2.ann1.Glyma.14G208000
LEA2-83	late embryogenesis abundant 2 gene 83	glyma.Wm82.gnm2.ann1.Glyma.15G015800
LEA2-84	late embryogenesis abundant 2 gene 84	glyma.Wm82.gnm2.ann1.Glyma.15G024400
LEA2-85	late embryogenesis abundant 2 gene 85	glyma.Wm82.gnm2.ann1.Glyma.15G048800
LEA2-86	late embryogenesis abundant 2 gene 86	glyma.Wm82.gnm2.ann1.Glyma.15G065400
LEA2-87	late embryogenesis abundant 2 gene 87	glyma.Wm82.gnm2.ann1.Glyma.16G031000
LEA2-88	late embryogenesis abundant 2 gene 88	glyma.Wm82.gnm2.ann1.Glyma.16G031300
LEA2-89	late embryogenesis abundant 2 gene 89	glyma.Wm82.gnm2.ann1.Glyma.16G221900
LEA2-9	late embryogenesis abundant 2 gene 9	glyma.Wm82.gnm2.ann1.Glyma.02G277300
LEA2-90	late embryogenesis abundant 2 gene 90	glyma.Wm82.gnm2.ann1.Glyma.17G172900
LEA2-91	late embryogenesis abundant 2 gene 91	glyma.Wm82.gnm2.ann1.Glyma.18G047800
LEA2-92	late embryogenesis abundant 2 gene 92	glyma.Wm82.gnm2.ann1.Glyma.18G073200
LEA2-93	late embryogenesis abundant 2 gene 93	glyma.Wm82.gnm2.ann1.Glyma.18G218700
LEA2-94	late embryogenesis abundant 2 gene 94	glyma.Wm82.gnm2.ann1.Glyma.18G218800
LEA2-95	late embryogenesis abundant 2 gene 95	glyma.Wm82.gnm2.ann1.Glyma.18G238700
LEA2-97	late embryogenesis abundant 2 gene 97	glyma.Wm82.gnm2.ann1.Glyma.19G19870
LEA2-98	late embryogenesis abundant 2 gene 98	glyma.Wm82.gnm2.ann1.Glyma.19G198800
LEA2-99	late embryogenesis abundant 2 gene 99	glyma.Wm82.gnm2.ann1.Glyma.19G198900
LEA5	desiccation protective protein LEA5	glyma.Wm82.gnm2.ann1.Glyma.17g027400
LEC1-A	transcription factor LEC1-A	glyma.Wm82.gnm2.ann1.Glyma.07g268100
LEC1-B	nuclear transcription factor Y subunit B-6-like	glyma.Wm82.gnm2.ann1.Glyma.17g005600
LEC2a	B3 domain transcription factor	glyma.Wm82.gnm2.ann1.Glyma.20G035800
LEC2b	B3 domain transcription factor	glyma.Wm82.gnm2.ann1.Glyma.20G035700
LEM3	ligand-effect modulator 3	glyma.Wm82.gnm1.ann1.Glyma08g17460
LF1	putative AP2 domain-containing protein Lf1	glyma.Wm82.gnm2.ann1.Glyma.08g281900
LHCB1-7	photosystem II type I chlorophyll a/b-binding protein	glyma.Wm82.gnm2.ann1.Glyma.16g165800
LHP1	non-histone chromosomal protein	glyma.Wm82.gnm2.ann1.Glyma.16G079900
LHP1-1	chromo domain-containing protein LHP1-1	glyma.Wm82.gnm2.ann1.Glyma.16g079900
LHP1-2	chromo domain-containing protein LHP1-2	glyma.Wm82.gnm2.ann1.Glyma.03g094200
LHY1a	LATE ELONGATED HYPOCOTYL 1 gene a	glyma.Wm82.gnm2.ann1.Glyma.16G017400
LHY1b	LATE ELONGATED HYPOCOTYL 1 gene b	glyma.Wm82.gnm2.ann1.Glyma.07G048500
LHY2a	LATE ELONGATED HYPOCOTYL 2 gene a	glyma.Wm82.gnm2.ann1.Glyma.19G260900
LHY2b	LATE ELONGATED HYPOCOTYL 2 gene b	glyma.Wm82.gnm2.ann1.Glyma.03G261800
LOG	Lonely Guy	glyma.Wm82.gnm2.ann1.Glyma.12G174900
LOX	seed linoleate 9S-lipoxygenase-3	glyma.Wm82.gnm2.ann1.Glyma.08g189200
LOX1.4	lipoxygenase 1 gene 4	glyma.Wm82.gnm2.ann1.Glyma.07g007000
LOX10	lipoxygenase-10 gene	glyma.Wm82.gnm2.ann1.Glyma.08g189600
LOX4	Lipoxygenase 4 gene	glyma.Wm82.gnm2.ann1.Glyma.13g347700
LOX8	lipoxygenase 8 gene	glyma.Wm82.gnm2.ann1.Glyma.15g026500
LOX9	Lipoxygenase 9 gene	glyma.Wm82.gnm2.ann1.Glyma.07g034800
LoxB	Lipoxygenase B1 gene	glyma.Wm82.gnm2.ann1.Glyma.13g347700
LOXB1	lipoxygenase	glyma.Wm82.gnm2.ann1.Glyma.13g347700
LPAAT	lysophosphatidic acid acyltransferase	glyma.Wm82.gnm2.ann1.Glyma.15g034100
LPAT	Lysophosphatidyl acyltransferase	glyma.Wm82.gnm1.ann1.Glyma11G12830
LRK1	leucine-rich repeat receptor-like kinase 1	glyma.Wm82.gnm2.ann1.Glyma.03g189800
LRPK	serine/threonine-protein kinase LRPK	glyma.Wm82.gnm2.ann1.Glyma.16g015400
LRR	Leucine-rich repeat receptor-like kinase	glyma.Wm82.gnm2.ann1.Glyma.06G265400
LSD1	Lys-Specific Demethylase 1	glyma.Wm82.gnm1.ann1.Glyma02g18610
LUXA	transcription factor LUXa	glyma.Wm82.gnm2.ann1.Glyma.01g162600
LUXB	transcription factor LUXb	glyma.Wm82.gnm2.ann1.Glyma.12g060200
LUXC	transcription factor LUXc	glyma.Wm82.gnm2.ann1.Glyma.11g136600
Lx1	lipoxygenase 1 gene	glyma.Wm82.gnm2.ann1.Glyma.13g347600
Lx2	Lipoxygenase 2 gene	glyma.Wm82.gnm2.ann1.Glyma.13g347500
Lx3	Lipoxygenase 3 gene	glyma.Wm82.gnm2.ann1.Glyma.15g026300
LYK10	protein LYK2	glyma.Wm82.gnm2.ann1.Glyma.19g088300
LYK4	lysM domain receptor-like kinase 4	glyma.Wm82.gnm2.ann1.Glyma.01g179000
MADS28	MADS transcription factor	glyma.Wm82.gnm2.ann1.Glyma.18g0047001
MAF1	MFP1 attachment factor 1	glyma.Wm82.gnm2.ann1.Glyma.17g237500
MAGL	Monoacylglycerol lipase	glyma.Wm82.gnm1.ann1.Glyma08G19060
MAKKK13-2	mitogen-activated protein kinase kinase 13 gene 2 	glyma.Wm82.gnm2.ann1.Glyma.14G195300
MAN	endo-1, 4-beta-mannosidase	glyma.Wm82.gnm2.ann1.Glyma.19G223000
MAN1	mannosyl-oligosaccharide 1,2-alpha-mannosidase	glyma.Wm82.gnm2.ann1.Glyma.08g221900
MAPK1	mitogen-activated protein kinase 1	glyma.Wm82.gnm2.ann1.Glyma.u021800
MAPK11-2	mitogen-activated protein kinase 11 gene 2	glyma.Wm82.gnm2.ann1.Glyma.09G256000
MAPK16-4	mitogen-activated protein kinase 16	glyma.Wm82.gnm2.ann1.Glyma.07g255400
MAPK2	mitogen-activated protein kinase 2	glyma.Wm82.gnm2.ann1.Glyma.02g138800
MAPK22-2	mitogen-activated protein kinase 22 gene 2	glyma.Wm82.gnm2.ann1.Glyma.16G088700
MAPK3-2	mitogen-activated protein kinase kinase gene 3 gene 2 	glyma.Wm82.gnm2.ann1.Glyma.12G073000
MAPKK2	mitogen-activated protein kinase kinase MAPKK2	glyma.Wm82.gnm2.ann1.Glyma.17g052400
MAPKKK14-1	mitogen-activated protein kinase kinase kinase 14 gene 1	glyma.Wm82.gnm2.ann1.Glyma.18G060900
MAPKKK18-1	mitogen-activated protein kinase kinase 18 gene 1	glyma.Wm82.gnm2.ann1.Glyma.12G097200
MAPKKK24-3	mitogen-activated protein kinase kinase kinase 24 gene 3	glyma.Wm82.gnm2.ann1.Glyma.14G080100
MAT1	maturation-associated protein 1 gene	glyma.Wm82.gnm2.ann1.Glyma.07g090400
MAT9	Maturation-associated protein 9 gene	glyma.Wm82.gnm2.ann1.Glyma.09g185500
MATE	aluminum-activated citrate transporter	glyma.Wm82.gnm2.ann1.Glyma.13g339800
MATE13	citrate-proton symporter	glyma.Wm82.gnm2.ann1.Glyma.02g181800
MCCA	3-methylcrotonyl-CoA carboxylase 1	glyma.Wm82.gnm2.ann1.Glyma.02g145300
MDH-1	malate dehydrogenase	glyma.Wm82.gnm2.ann1.Glyma.12g159300
Mdh1	malate dehydrogenase 1 gene	glyma.Wm82.gnm2.ann1.Glyma.12g159300
Mdh2	malate dehydrogenase 2 gene, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.05g026300
MDHAR-1a	DEHYDROASCORBATE REDUCTASE 1 gene a	glyma.Wm82.gnm2.ann1.Glyma.10G291100
MDHAR-1b	DEHYDROASCORBATE REDUCTASE 1 gene b	glyma.Wm82.gnm2.ann1.Glyma.20G240300
MDHAR-3a	DEHYDROASCORBATE REDUCTASE 3 gene a	glyma.Wm82.gnm2.ann1.Glyma.18G040100
MDHAR-4a	Peroximal monodehydroascorbate reductase 4 gene a	glyma.Wm82.gnm2.ann1.Glyma.16g073100
MDHAR-4b	Peroximal monodehydroascorbate reductase 4 gene b	glyma.Wm82.gnm2.ann1.Glyma.19g061200
MDHAR-6	Monodehydroascorbate reductase 6, cytosolic	glyma.Wm82.gnm2.ann1.Glyma.08g017800
MED10-1	Mediator Complex 10 gene 1	glyma.Wm82.gnm2.ann1.Glyma.08g296500
MED10-2	Mediator Complex 10 gene 2	glyma.Wm82.gnm2.ann1.Glyma.18g125700
MED11-1	Mediator Complex 11 gene 1	glyma.Wm82.gnm2.ann1.Glyma.03g168300
MED11-2	Mediator Complex 11 gene 2	glyma.Wm82.gnm2.ann1.Glyma.19g169600
MED12-1	Mediator Complex 12 gene 1	glyma.Wm82.gnm2.ann1.Glyma.03g009200
MED12-2	Mediator Complex 12 gene 2	glyma.Wm82.gnm2.ann1.Glyma.07g070700
MED12-3	Mediator Complex 12 gene 3	glyma.Wm82.gnm2.ann1.Glyma.09g259400
MED12-4	Mediator Complex 12 gene 4	glyma.Wm82.gnm2.ann1.Glyma.18g232900
MED13-1	Mediator Complex 13 gene 1	glyma.Wm82.gnm2.ann1.Glyma.18g000100
MED13-2	Mediator Complex 13 gene 2	glyma.Wm82.gnm2.ann1.Glyma.11G256800
MED14-1	Mediator Complex 14 gene 1	glyma.Wm82.gnm2.ann1.Glyma.03g247300
MED14-2	Mediator Complex 14 gene 2	glyma.Wm82.gnm2.ann1.Glyma.19g245100
MED14-3	Mediator Complex 14 gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G083100
MED15-1	Mediator Complex 15 gene 1	glyma.Wm82.gnm2.ann1.Glyma.08g214900
MED15-2	Mediator Complex 15 gene 2	glyma.Wm82.gnm2.ann1.Glyma.13g367700
MED15-3	Mediator Complex 15 gene 3	glyma.Wm82.gnm2.ann1.Glyma.15g005500
MED16-1	Mediator Complex 16 gene 1	glyma.Wm82.gnm2.ann1.Glyma.13g181200
MED16-2	Mediator Complex 16 gene 2	glyma.Wm82.gnm2.ann1.Glyma.13g241100
MED16-3	Mediator Complex 15 gene 3	glyma.Wm82.gnm2.ann1.Glyma.15g072300
MED17-1	Mediator Complex 17 gene 1	glyma.Wm82.gnm2.ann1.Glyma.05g009700
MED17-2	Mediator Complex 17 gene 2	glyma.Wm82.gnm2.ann1.Glyma.14g007400
MED17-3	Mediator Complex 17 gene 3	glyma.Wm82.gnm2.ann1.Glyma.17g117600
MED18-1	Mediator Complex 18 gene 1	glyma.Wm82.gnm2.ann1.Glyma.09g054300
MED18-2	Mediator Complex 18 gene 2	glyma.Wm82.gnm2.ann1.Glyma.15g160500
MED18-3	Mediator Complex 18 gene 3	glyma.Wm82.gnm2.ann1.Glyma.18g135700
MED19-1	Mediator Complex 19 gene 1	glyma.Wm82.gnm2.ann1.Glyma.04g001800
MED19-2	Mediator Complex 19 gene 2	glyma.Wm82.gnm2.ann1.Glyma.06g001300
MED19-3	Mediator Complex 19 gene 3	glyma.Wm82.gnm2.ann1.Glyma.07g058600
MED19-4	Mediator Complex 19 gene 4	glyma.Wm82.gnm2.ann1.Glyma.16g027500
MED2-1	Mediator Complex 2 gene 1	glyma.Wm82.gnm2.ann1.Glyma.04g123300
MED2-2	Mediator Complex 2 gene 2	glyma.Wm82.gnm2.ann1.Glyma.09g214900
MED20-1	Mediator Complex 20 gene 1	glyma.Wm82.gnm2.ann1.Glyma.13g109300
MED20-2	Mediator Complex 20 gene 2	glyma.Wm82.gnm2.ann1.Glyma.17g050300
MED21-1	Mediator Complex 21 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10g264300
MED22-1	Mediator Complex 22 gene 1	glyma.Wm82.gnm2.ann1.Glyma.08g160100
MED22-2	Mediator Complex 22 gene 2	glyma.Wm82.gnm2.ann1.Glyma.15g204300
MED23-1	Mediator Complex 23 gene 1	glyma.Wm82.gnm2.ann1.Glyma.09g123500
MED25-1	Mediator Complex 25 gene 1	glyma.Wm82.gnm2.ann1.Glyma.02g098300
MED25-2	Mediator Complex 25 gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G086600
MED25-3	Mediator Complex 25 gene 3	glyma.Wm82.gnm2.ann1.Glyma.02G098500
MED25-4	Mediator Complex 25 gene 4	glyma.Wm82.gnm2.ann1.Glyma.20G031800
MED26-1	Mediator Complex 26 gene 1	glyma.Wm82.gnm2.ann1.Glyma.04g216700
MED26-2	Mediator Complex 26 gene 2	glyma.Wm82.gnm2.ann1.Glyma.05g187800
MED26-3	Mediator Complex 26 gene 3	glyma.Wm82.gnm2.ann1.Glyma.06g149200
MED26-4	Mediator Complex 26 gene 4	glyma.Wm82.gnm2.ann1.Glyma.08g146000
MED28-1	Mediator Complex 28 gene 1	glyma.Wm82.gnm2.ann1.Glyma.05g185600
MED28-2	Mediator Complex 28 gene 2	glyma.Wm82.gnm2.ann1.Glyma.08g143600
MED3-1	Mediator Complex 3 gene 1	glyma.Wm82.gnm2.ann1.Glyma.03g201900
MED3-2	Mediator Complex 3 gene 2	glyma.Wm82.gnm2.ann1.Glyma.19g026300
MED30-1	Mediator Complex 30 gene 1	glyma.Wm82.gnm2.ann1.Glyma.04g196600
MED30-2	Mediator Complex 30 gene 2	glyma.Wm82.gnm2.ann1.Glyma.06g169200
MED31-1	Mediator Complex 31 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10g242500
MED31-2	Mediator Complex 31 gene 2	glyma.Wm82.gnm2.ann1.Glyma.20g151600
MED34-1	Mediator Complex 34 gene 1	glyma.Wm82.gnm2.ann1.Glyma.09g215200
MED35-1	Mediator Complex 35 gene 1	glyma.Wm82.gnm2.ann1.Glyma.11g102600
MED35-3	Mediator Complex 35 gene 3	glyma.Wm82.gnm2.ann1.Glyma.12g028100
MED35-4	Mediator Complex 35 gene 4	glyma.Wm82.gnm2.ann1.Glyma.17g233000
MED35-5	Mediator Complex 35 gene 5	glyma.Wm82.gnm2.ann1.Glyma.20g135800
MED36-1	Mediator Complex 36 gene 1	glyma.Wm82.gnm2.ann1.Glyma.04g200700
MED36-2	Mediator Complex 36 gene 2	glyma.Wm82.gnm2.ann1.Glyma.06g164800
MED36-3	Mediator Complex 36 gene 3	glyma.Wm82.gnm2.ann1.Glyma.18g020000
MED37-1	Mediator Complex 37 gene 1	glyma.Wm82.gnm2.ann1.Glyma.02g093200
MED37-10	Mediator Complex 37 gene 10	glyma.Wm82.gnm2.ann1.Glyma.18g289100
MED37-11	Mediator Complex 37 gene 11	glyma.Wm82.gnm2.ann1.Glyma.18g289600
MED37-12	Mediator Complex 37 gene 12	glyma.Wm82.gnm2.ann1.Glyma.19g172200
MED37-2	Mediator Complex 37 gene 2	glyma.Wm82.gnm2.ann1.Glyma.03g171100
MED37-3	Mediator Complex 37 gene 3	glyma.Wm82.gnm2.ann1.Glyma.05g219600
MED37-4	Mediator Complex 37 gene 4 	glyma.Wm82.gnm2.ann1.Glyma.05g219400
MED37-5	Mediator Complex 37 gene 5	glyma.Wm82.gnm2.ann1.Glyma.07g170800
MED37-6	Mediator Complex 37 gene 6	glyma.Wm82.gnm2.ann1.Glyma.08g025700
